Nome: NOVO AIRAO
Codigo Estacao: A127
Latitude: -2.628982
Longitude: -60.941108
Altitude: 37.59
Situacao: Desativada
Data Inicial: 2008-04-10
Data Final: 2008-10-29
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;15;null;null;26,030637;3,8;null;
2008-05-31;24;328,4;1006,085776;25,669209;4,1;,956428;
2008-06-30;16;153,8;1006,877905;25,885477;4,8;,975833;
2008-07-31;12;130,4;1006,946505;26,607661;5,2;,6875;
2008-08-31;8;null;null;27,633542;4,3;null;
2008-09-30;null;null;null;null;null;null;
2008-10-31;null;null;null;null;null;null;

