Nome: MARACANA
Codigo Estacao: A656
Latitude: -22.91111111
Longitude: -43.22722221
Altitude: 14
Situacao: Desativada
Data Inicial: 2007-04-12
Data Final: 2007-09-23
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-04-30;null;null;null;null;null;null;
2007-05-31;9;null;null;22,275848;3,9;null;
2007-06-30;6;45,4;1017,311139;22,334191;5;,701362;
2007-07-31;8;43,8;1017,708756;21,528441;5,4;,843901;
2007-08-31;4;4,8;1019,227616;22,409772;6,3;,997672;
2007-09-30;1;null;null;24,137041;4,1;null;

