Nome: ESCOLA NAVAL
Codigo Estacao: A651
Latitude: -22.91472222
Longitude: -43.15944444
Altitude: 14
Situacao: Desativada
Data Inicial: 2007-04-17
Data Final: 2007-09-26
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-04-30;2;null;null;null;null;null;
2007-05-31;6;null;1016,586432;22,024203;9,6;2,544384;
2007-06-30;7;40,6;1017,643456;21,855351;11,2;2,268006;
2007-07-31;7;64;1018,019748;21,244116;12;2,240886;
2007-08-31;5;12,4;1019,568191;21,439424;12,1;2,49655;
2007-09-30;2;6,6;1018,620326;22,189525;9,6;2,939827;

