Nome: ENGENHO DE DENTRO
Codigo Estacao: A655
Latitude: -22.89472222
Longitude: -43.29138889
Altitude: 37
Situacao: Desativada
Data Inicial: 2007-07-02
Data Final: 2007-09-23
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-07-31;9;null;1014,947704;21,479292;6,8;,873188;
2007-08-31;6;6;1017,057556;22,429437;7,5;1,074075;
2007-09-30;1;null;null;24,462223;5,8;null;

